"((1, 8, 0), (8, 5, 1))","[3750, array([ 0.01924071,  1.30316705,  1.527014  , -1.38766418, -1.46175758])]"
"((1, 8, 0), (5, 2, 1))","[6253, array([-0.17656055,  1.53812821,  1.43176098, -1.45544716, -1.33788148])]"
"((1, 8, 0), (4, 2, 1))","[3900, array([-0.30558438,  1.49405378,  1.5473995 , -1.48659125, -1.24927765])]"
"((1, 8, 0), (7, 5, 1))","[3799, array([-0.37435811,  1.47664632,  1.48282058, -1.3064273 , -1.27868149])]"
"((1, 8, 0), (7, 6, 1))","[2358, array([-0.29384001,  1.64289207,  1.32369417, -1.11272612, -1.5600201 ])]"
"((1, 8, 0), (7, 8, 1))","[519, array([ 0.12553504,  1.51148553,  1.54428696, -1.5990932 , -1.58221432])]"
"((1, 8, 0), (6, 6, 1))","[2279, array([-0.27373258,  1.58494617,  1.41575147, -1.22169151, -1.50527355])]"
"((1, 8, 0), (7, 9, 1))","[96, array([ 0.21848494,  0.82980136,  1.29911545, -0.98316811, -1.36423364])]"
"((1, 8, 0), (8, 6, 1))","[1538, array([-0.11584781,  1.24888836,  1.59028217, -1.24002519, -1.48329754])]"
"((1, 8, 0), (7, 7, 1))","[1123, array([-0.03609786,  1.59915927,  1.44467039, -1.3547002 , -1.65303161])]"
"((1, 8, 0), (5, 5, 1))","[2809, array([-0.03428849,  1.3922295 ,  1.32780733, -1.30094878, -1.38479955])]"
"((1, 8, 0), (5, 4, 1))","[4228, array([-0.03803824,  1.41131227,  1.46804672, -1.44282624, -1.39849451])]"
"((1, 8, 0), (6, 5, 1))","[3155, array([-0.24033655,  1.32458912,  1.62547877, -1.46086122, -1.24887012])]"
"((1, 8, 0), (9, 5, 1))","[676, array([-0.22633916,  1.54977554,  1.45391581, -1.28023931, -1.49711288])]"
"((1, 8, 0), (5, 3, 1))","[4720, array([-0.21792584,  1.56375765,  1.48457805, -1.40953751, -1.42087235])]"
"((1, 8, 0), (4, 4, 1))","[3280, array([-0.39582518,  1.43696706,  1.61375746, -1.27848168, -1.37641766])]"
"((1, 8, 0), (4, 3, 1))","[2980, array([-0.46312034,  1.64981659,  1.5702354 , -1.38478656, -1.37214509])]"
"((1, 8, 0), (2, 3, 1))","[1743, array([ 0.05051727,  1.58467985,  1.338054  , -1.38433877, -1.58891235])]"
"((1, 8, 0), (3, 3, 1))","[2055, array([-0.51262268,  1.7187762 ,  1.5714143 , -1.39671102, -1.3808568 ])]"
"((1, 8, 0), (3, 7, 1))","[244, array([ 1.07210391,  1.33411071,  1.00951015, -1.59233693, -1.82338784])]"
"((1, 8, 0), (3, 4, 1))","[2046, array([-0.25726102,  1.78525049,  1.25462182, -1.09858443, -1.68402686])]"
"((1, 8, 0), (1, 7, 1))","[292, array([ 0.46221951,  1.80256477,  0.59265468, -1.32289216, -1.5345468 ])]"
"((1, 8, 0), (3, 8, 1))","[266, array([ 0.70270017,  1.70595913,  0.91183547, -1.55272232, -1.76777246])]"
"((1, 8, 0), (2, 4, 1))","[1385, array([ 0.07649078,  1.80365026,  1.0750173 , -1.12421955, -1.83093879])]"
"((1, 8, 0), (2, 5, 1))","[1236, array([ 0.05785569,  1.61550469,  1.36366888, -1.28337792, -1.75365134])]"
"((1, 8, 0), (1, 6, 1))","[368, array([ 0.24049825,  1.74671347,  0.87740219, -1.17822434, -1.68638958])]"
"((1, 8, 0), (2, 7, 1))","[491, array([ 0.18594826,  1.35230285,  1.14799703, -1.12753913, -1.558709  ])]"
"((1, 8, 0), (2, 8, 1))","[188, array([-0.08536063,  1.6764676 ,  1.29301431, -1.31671943, -1.56740185])]"
"((1, 8, 0), (2, 6, 1))","[1263, array([ 0.42266181,  1.25149918,  1.35452788, -1.31851378, -1.71017509])]"
"((1, 8, 0), (2, 9, 1))","[63, array([ 0.95188065,  1.59085655,  0.77976849, -1.53308281, -1.78942289])]"
